,PC1,PC2
Orbital_velocity_std,0.8170512396326406,-0.17342119244176765
Stokes_Drifts_prof_on_Satellite_Direction,0.13120327562117617,0.15039980168072875
Mean_Wave_Period,0.41243178909603334,0.7804093416015963
Wind_Speed_Model,0.7360177975500009,-0.44590966779171853
SWH_Model,0.7685135871495447,0.16693639043648428
